feature,importance
authorities_contacted_None,0.19599354450510695
witnesses,0.1532250024962754
insured_age,0.08220602863674262
incident_severity_Total Loss,0.06263509436624588
claim_amount,0.05418368967004319
total_claim_amount,0.04934509871886077
claim_to_premium_ratio,0.046508242032145194
authorities_contacted_Police,0.035595590874735496
policy_annual_premium,0.034865208803568484
authorities_contacted_Fire,0.025190479270197266
incident_hour_of_the_day,0.0232077946482223
incident_month,0.01936872065728365
incident_severity_Minor Damage,0.019026494923740624
insured_occupation_Sales,0.016090161647175766
policy_deductible,0.01516536935880596
incident_dayofweek,0.01357873169368252
bodily_injuries,0.012035039928558706
number_of_vehicles_involved,0.009564832940147028
insured_occupation_Teacher,0.005548628697114988
insured_occupation_Doctor,0.0050902675309843735
insured_occupation_Engineer,0.004622388979716864
insured_sex_MALE,0.00458048823628257
police_report_available_Yes,0.0043761667481564
insured_sex_OTHER,0.00433305002214022
incident_type_Parked Car,0.004294305189410845
incident_type_Vehicle Theft,0.004138319124640139
incident_type_Single Vehicle Collision,0.004111711032784927
insured_occupation_Manager,0.003982285713208882
collision_type_Side,0.0039034493777304127
insured_occupation_Lawyer,0.0037272666313832767
insured_education_level_Masters,0.0035713374551083043
collision_type_Unknown,0.003535429450054566
insured_occupation_Technician,0.003461257681298805
insured_education_level_PhD,0.003414989627001038
collision_type_Rear,0.003098018382814663
insured_education_level_High School,0.00307363891203813
insured_hobbies_paintball,0.0030359021163545944
insured_hobbies_yachting,0.0029448513384286107
incident_state_NY,0.0029184314987984756
insured_hobbies_hiking,0.0028993886090987165
insured_hobbies_movies,0.0027763295892022123
incident_state_MI,0.0027520653604532204
policy_state_MI,0.0026832947689984696
insured_hobbies_chess,0.002636118528162902
policy_state_FL,0.0025880116760222576
incident_state_FL,0.0025345940939840716
insured_hobbies_reading,0.0024798018045369403
policy_state_IL,0.0024592493824973235
policy_state_GA,0.0024442512272559976
policy_state_NC,0.002419152530893254
policy_state_PA,0.0024191433052260674
incident_state_IL,0.002344773818543028
policy_state_NY,0.002337834375981109
incident_state_PA,0.00228896808103284
incident_state_TX,0.0022319464118633384
incident_state_OH,0.002219893306317569
incident_state_GA,0.0021171063110583446
incident_state_NC,0.002055033353376233
policy_state_TX,0.0019228417993505437
policy_state_OH,0.001842892749156802
