model,fpr,tpr
LR (claim amount only),0.05026355421686747,0.08866279069767442
LR (claim amount only),0.05026355421686747,0.09011627906976744
LR (claim amount only),0.05120481927710843,0.09011627906976744
LR (claim amount only),0.05120481927710843,0.09156976744186046
LR (claim amount only),0.05515813253012048,0.09156976744186046
LR (claim amount only),0.05515813253012048,0.09302325581395349
LR (claim amount only),0.055534638554216864,0.09302325581395349
LR (claim amount only),0.055534638554216864,0.09447674418604651
LR (claim amount only),0.05779367469879518,0.09447674418604651
LR (claim amount only),0.05779367469879518,0.09593023255813954
LR (claim amount only),0.05854668674698795,0.09593023255813954
LR (claim amount only),0.05854668674698795,0.09738372093023256
LR (claim amount only),0.05911144578313253,0.09738372093023256
LR (claim amount only),0.05911144578313253,0.1002906976744186
LR (claim amount only),0.06099397590361446,0.1002906976744186
LR (claim amount only),0.06099397590361446,0.10174418604651163
LR (claim amount only),0.0625,0.10174418604651163
LR (claim amount only),0.0625,0.10319767441860465
LR (claim amount only),0.06325301204819277,0.10319767441860465
LR (claim amount only),0.06325301204819277,0.10465116279069768
LR (claim amount only),0.06419427710843373,0.10465116279069768
LR (claim amount only),0.06419427710843373,0.10755813953488372
LR (claim amount only),0.06626506024096386,0.10755813953488372
LR (claim amount only),0.06626506024096386,0.10901162790697674
LR (claim amount only),0.06645331325301204,0.10901162790697674
LR (claim amount only),0.06645331325301204,0.1119186046511628
LR (claim amount only),0.06664156626506024,0.1119186046511628
LR (claim amount only),0.06664156626506024,0.11337209302325581
LR (claim amount only),0.06701807228915663,0.11337209302325581
LR (claim amount only),0.06701807228915663,0.11627906976744186
LR (claim amount only),0.06946536144578314,0.11627906976744186
LR (claim amount only),0.06946536144578314,0.11773255813953488
LR (claim amount only),0.07153614457831325,0.11773255813953488
LR (claim amount only),0.07153614457831325,0.11918604651162791
LR (claim amount only),0.07172439759036145,0.11918604651162791
LR (claim amount only),0.07172439759036145,0.12063953488372094
LR (claim amount only),0.07210090361445783,0.12063953488372094
LR (claim amount only),0.07210090361445783,0.12209302325581395
LR (claim amount only),0.0730421686746988,0.12209302325581395
LR (claim amount only),0.0730421686746988,0.12354651162790697
LR (claim amount only),0.07398343373493976,0.12354651162790697
LR (claim amount only),0.07398343373493976,0.125
LR (claim amount only),0.07473644578313253,0.125
LR (claim amount only),0.07473644578313253,0.12936046511627908
LR (claim amount only),0.07661897590361445,0.12936046511627908
LR (claim amount only),0.07661897590361445,0.1308139534883721
LR (claim amount only),0.07756024096385543,0.1308139534883721
LR (claim amount only),0.07756024096385543,0.13226744186046513
LR (claim amount only),0.078125,0.13226744186046513
LR (claim amount only),0.078125,0.13372093023255813
LR (claim amount only),0.08226656626506024,0.13372093023255813
LR (claim amount only),0.08226656626506024,0.13517441860465115
LR (claim amount only),0.08358433734939759,0.13517441860465115
LR (claim amount only),0.08358433734939759,0.13662790697674418
LR (claim amount only),0.08452560240963855,0.13662790697674418
LR (claim amount only),0.08452560240963855,0.1380813953488372
LR (claim amount only),0.08565512048192771,0.1380813953488372
LR (claim amount only),0.08565512048192771,0.14098837209302326
LR (claim amount only),0.08697289156626506,0.14098837209302326
LR (claim amount only),0.08697289156626506,0.14244186046511628
LR (claim amount only),0.08810240963855422,0.14244186046511628
LR (claim amount only),0.08810240963855422,0.1438953488372093
LR (claim amount only),0.09017319277108433,0.1438953488372093
LR (claim amount only),0.09017319277108433,0.14534883720930233
LR (claim amount only),0.09186746987951808,0.14534883720930233
LR (claim amount only),0.09186746987951808,0.14680232558139536
LR (claim amount only),0.09657379518072289,0.14680232558139536
LR (claim amount only),0.09657379518072289,0.14970930232558138
LR (claim amount only),0.09751506024096386,0.14970930232558138
LR (claim amount only),0.09751506024096386,0.1511627906976744
LR (claim amount only),0.0988328313253012,0.1511627906976744
LR (claim amount only),0.0988328313253012,0.15261627906976744
LR (claim amount only),0.09977409638554217,0.15261627906976744
LR (claim amount only),0.09977409638554217,0.15406976744186046
LR (claim amount only),0.10033885542168675,0.15406976744186046
LR (claim amount only),0.10033885542168675,0.1555232558139535
LR (claim amount only),0.10278614457831325,0.1555232558139535
LR (claim amount only),0.10278614457831325,0.1569767441860465
LR (claim amount only),0.10297439759036145,0.1569767441860465
LR (claim amount only),0.10297439759036145,0.15843023255813954
LR (claim amount only),0.10372740963855422,0.15843023255813954
LR (claim amount only),0.10372740963855422,0.15988372093023256
LR (claim amount only),0.10391566265060241,0.15988372093023256
LR (claim amount only),0.10391566265060241,0.1613372093023256
LR (claim amount only),0.10485692771084337,0.1613372093023256
LR (claim amount only),0.10485692771084337,0.16424418604651161
LR (claim amount only),0.10542168674698796,0.16424418604651161
LR (claim amount only),0.10542168674698796,0.16715116279069767
LR (claim amount only),0.10862198795180723,0.16715116279069767
LR (claim amount only),0.10862198795180723,0.1686046511627907
LR (claim amount only),0.10881024096385543,0.1686046511627907
LR (claim amount only),0.10881024096385543,0.17005813953488372
LR (claim amount only),0.11012801204819277,0.17005813953488372
LR (claim amount only),0.11012801204819277,0.17151162790697674
LR (claim amount only),0.11502259036144578,0.17151162790697674
LR (claim amount only),0.11502259036144578,0.1744186046511628
LR (claim amount only),0.11558734939759036,0.1744186046511628
LR (claim amount only),0.11558734939759036,0.17587209302325582
LR (claim amount only),0.11634036144578314,0.17587209302325582
LR (claim amount only),0.11634036144578314,0.17732558139534885
LR (claim amount only),0.11671686746987951,0.17732558139534885
LR (claim amount only),0.11671686746987951,0.17877906976744187
LR (claim amount only),0.1172816265060241,0.17877906976744187
LR (claim amount only),0.1172816265060241,0.18023255813953487
LR (claim amount only),0.11784638554216867,0.18023255813953487
LR (claim amount only),0.11784638554216867,0.1816860465116279
